line_id,corporation,name,stops_total,stops_inside,stops_outside,stops_unknown,eligible,reason
1029,西鉄バス,西鉄バス・１・普通・福岡タワー・医療Ｃ構内行,21,21,0,0,yes,ok
1036,西鉄バス,西鉄バス・１－５・普通・藤崎－福岡タワー南口・医療Ｃ構内行,27,27,0,0,yes,ok
1038,西鉄バス,西鉄バス・１・普通・橋本－新室見・姪浜駅南口行,11,11,0,0,yes,ok
1053,西鉄バス,西鉄バス・１－７・普通・城の原団地－下山門団地・三陽高前行,18,18,0,0,yes,ok
1057,西鉄バス,西鉄バス・１－５・普通・中村－拾六町団地・野方行,13,13,0,0,yes,ok
1079,西鉄バス,西鉄バス・普通・龍の宮行,11,11,0,0,yes,ok
11,西鉄バス,西鉄バス・６８・普通・天神－国体道路－キャナル博多・博多駅行,19,19,0,0,yes,ok
1100,西鉄バス,西鉄バス・８・普通・博多駅行,25,25,0,0,yes,ok
1128,西鉄バス,西鉄バス・２０１・普通・田隈新町－六本松－国体道路・天神・博多駅行,43,43,0,0,yes,ok
117,西鉄バス,西鉄バス・６－１・普通・キャナル博多・博多駅行,25,25,0,0,yes,ok
1185,西鉄バス,西鉄バス・７８・普通・流通Ｃ－県庁明治通り－天神・大濠公園行,12,11,1,0,no,has_outside_stops
1186,西鉄バス,西鉄バス・７７・普通・大濠公園行,16,14,2,0,no,has_outside_stops
1190,西鉄バス,西鉄バス・７７・普通・多の津－県庁－明治通り－天神・大濠公園行,12,12,0,0,yes,ok
1191,西鉄バス,西鉄バス・７７・普通・土井団地－名子・みどりが丘団地入口行,23,21,2,0,no,has_outside_stops
1192,西鉄バス,西鉄バス・７１・普通・月見町行,21,21,0,0,yes,ok
1193,西鉄バス,西鉄バス・７８・普通・多々良－土井団地－原土井病院・みどりが丘団地入口行,40,39,1,0,no,has_outside_stops
1197,連絡バス,連絡バス・皿倉山ケーブルカー・無料シャトルバス・ＪＲ八幡駅行,2,0,2,0,no,"corp_not_allowed,has_outside_stops"
120,西鉄バス,西鉄バス・６・普通・キャナル博多・博多駅行,22,22,0,0,yes,ok
1215,西鉄バス,西鉄バス・３９・普通・空港通－二又瀬－福岡空港－月隈団地・桜丘第五行,26,20,6,0,no,"has_outside_stops,name_blacklisted"
1217,西鉄バス,西鉄バス・４３・普通・金隈行,16,16,0,0,yes,ok
1231,西鉄バス,西鉄バス・１２・普通・六本松－赤坂門－天神・博多駅行,30,30,0,0,yes,ok
1236,西鉄バス,西鉄バス・１２・普通・六本松－福大前・片江営行,24,24,0,0,yes,ok
1237,西鉄バス,西鉄バス・１２・普通・赤坂門－六本松－福大前・片江営行,17,17,0,0,yes,ok
124,西鉄バス,西鉄バス・６・普通・鳥飼－西新四－博物館南口・福岡タワー行,17,17,0,0,yes,ok
1256,西鉄バス,西鉄バス・５７－２・普通・大牟田駅－白銀橋－橘交差点－新大牟田・吉野循環行,26,0,26,0,no,has_outside_stops
1265,西鉄バス,西鉄バス・１６・普通・倉掛行,15,0,15,0,no,has_outside_stops
1266,西鉄バス,西鉄バス・１６・普通・倉掛行,10,0,10,0,no,has_outside_stops
1267,西鉄バス,西鉄バス・１５・普通・大牟田駅・ゆめタウン大牟田行,19,0,19,0,no,has_outside_stops
1268,西鉄バス,西鉄バス・１５・普通・西鉄大牟田駅行,14,0,14,0,no,has_outside_stops
1273,西鉄バス,西鉄バス・１０・普通・西鉄大牟田駅行,14,0,14,0,no,has_outside_stops
1274,西鉄バス,西鉄バス・１８・普通・黒崎団地前行,16,0,16,0,no,has_outside_stops
1275,西鉄バス,西鉄バス・１０・普通・西鉄大牟田駅行,12,0,12,0,no,has_outside_stops
1277,西鉄バス,西鉄バス・１０・普通・大牟田駅・西鉄大牟田営行,18,0,18,0,no,has_outside_stops
1278,西鉄バス,西鉄バス・１・普通・大牟田駅・西鉄大牟田営行,6,0,6,0,no,has_outside_stops
1280,西鉄バス,西鉄バス・１８・普通・黒崎団地前行,20,0,20,0,no,has_outside_stops
1282,西鉄バス,西鉄バス・１８・普通・大牟田駅・西鉄大牟田営行,6,0,6,0,no,has_outside_stops
1284,西鉄バス,西鉄バス・３・普通・西鉄大牟田駅行,7,0,7,0,no,has_outside_stops
1285,西鉄バス,西鉄バス・３・普通・グリーンランド・ホテルヴェルデ前行,8,0,8,0,no,has_outside_stops
1286,西鉄バス,西鉄バス・７－１・普通・動物園前・西鉄大牟田営行,6,0,6,0,no,has_outside_stops
