ekispert_station_code,name,lat,lon
674013,穴生中学校前／西鉄バス,33.855374,130.754311
674029,穴生電停前／西鉄バス,33.854602,130.747174
674016,穴生ドーム／西鉄バス,33.850433,130.753624
674027,穴生ドーム南口／西鉄バス,33.849069,130.756966
673992,穴生橋／西鉄バス,33.860875,130.745591
675382,油山／西鉄バス,33.533613,130.382258
675381,油山団地口／西鉄バス,33.534388,130.382374
676052,油山団地前／西鉄バス,33.534644,130.380319
673224,安部山入口／西鉄バス,33.842094,130.905214
673330,安部山公園口／西鉄バス,33.845235,130.909621
676091,甘木／西鉄バス,33.419541,130.660796
677755,甘木営業所／西鉄バス,33.417299,130.665825
676088,甘木川／西鉄バス,33.423711,130.653435
673245,雨窪／西鉄バス,33.794722,130.97651
676193,雨堤／西鉄バス,33.843094,130.617305
676072,天山／西鉄バス,33.474877,130.558852
676675,網屋立筋／西鉄バス,33.617228,130.421117
676822,網屋町／西鉄バス,33.615214,130.42461
677102,洗出／西鉄バス,33.511363,130.506352
676728,荒江／西鉄バス,33.570605,130.360258
675507,荒江団地／西鉄バス,33.568133,130.362714
676729,荒江四角／西鉄バス,33.567288,130.359078
675773,新生／西鉄バス,33.581211,130.499769
676372,荒開／西鉄バス,33.835027,130.508747
676330,荒樫／西鉄バス,33.861669,130.531194
674307,荒木駅前／西鉄バス,33.273241,130.504466
673950,荒手／西鉄バス,33.881564,130.816394
674118,新手／西鉄バス,33.813547,130.713289
675230,荒戸一丁目／西鉄バス,33.586886,130.381539
675190,荒戸二丁目／西鉄バス,33.589447,130.378786
675535,現人橋／西鉄バス,33.503813,130.422917
674780,有明高専前／西鉄バス,33.000786,130.474858
675106,ありあけ新世校入口／西鉄バス,33.067582,130.472661
674710,有明橋／西鉄バス,33.159472,130.392125
677252,有井／西鉄バス,33.646635,130.726644
677251,有井団地／西鉄バス,33.643175,130.720866
675469,有住小学校前／西鉄バス,33.556622,130.333944
675238,有田／西鉄バス,33.55726,130.339514
675472,有田一丁目／西鉄バス,33.559924,130.336624
677255,有安／西鉄バス,33.639744,130.731352
678198,アルゾ飯塚幸袋店前／西鉄バス,33.663083,130.690388
673885,荒生田／西鉄バス,33.8619,130.831925
673884,荒生田公園下／西鉄バス,33.862263,130.834242
673544,淡島神社前／西鉄バス,33.911197,130.96573
675587,安徳北小／西鉄バス,33.511883,130.432214
675585,安徳公園前／西鉄バス,33.515647,130.435025
675630,安徳小学校／西鉄バス,33.507493,130.437758
676732,飯倉／西鉄バス,33.5588,130.356005
676730,飯倉一丁目／西鉄バス,33.56488,130.358166
676731,飯倉二丁目／西鉄バス,33.561603,130.357021
677406,飯田新町／西鉄バス,33.563655,130.703519
677124,飯塚・あいタウン前／西鉄バス,33.637922,130.689058
678241,飯塚・あいタウン前(循環)／西鉄バス,33.637891,130.688971
677179,飯塚駅通／西鉄バス,33.625536,130.689716
678251,飯塚オートレース場／西鉄バス,33.6502,130.710025
677197,飯塚工業団地／西鉄バス,33.609546,130.695744
677245,飯塚市役所／西鉄バス,33.642071,130.694319
678244,飯塚市役所(循環)／西鉄バス,33.642055,130.694391
677130,飯塚農協／西鉄バス,33.643964,130.67803
677177,飯塚橋／西鉄バス,33.632319,130.688905
677123,飯塚バスターミナル／西鉄バス,33.637558,130.688024
678240,飯塚バスターミナル(循環)／西鉄バス,33.637833,130.68791
677307,飯塚病院／西鉄バス,33.639694,130.693346
678242,飯塚病院(循環)／西鉄バス,33.639583,130.693058
677175,飯塚郵便局／西鉄バス,33.635438,130.688483
675256,飯盛神社前／西鉄バス,33.534463,130.314341
675258,飯盛保育園前／西鉄バス,33.535958,130.314805
675723,イオン大野城／西鉄バス,33.534236,130.477913
677288,イオン穂波ショッピングセンター前／西鉄バス,33.632338,130.67508
678236,イオン穂波店(循環)／西鉄バス,33.632928,130.676597
677878,イオンモール大牟田／西鉄バス,33.028319,130.431469
678180,イオンモール大牟田南／西鉄バス,33.026674,130.43128
676692,イオンモール香椎浜／西鉄バス,33.653914,130.434391
676983,イオンモール筑紫野／西鉄バス,33.478371,130.52873
674161,イオンモール直方／西鉄バス,33.765655,130.75273
677860,イオンモール福岡／西鉄バス,33.593553,130.483197
677948,イオンモール福津前／西鉄バス,33.750661,130.498491
673927,イオンモール八幡東／西鉄バス,33.866516,130.813805
673538,伊川／西鉄バス,33.902805,130.982102
677347,伊川(飯塚市)／西鉄バス,33.645467,130.649361
677348,伊川温泉／西鉄バス,33.643836,130.64858
677138,伊川道／西鉄バス,33.647228,130.653161
675470,井開／西鉄バス,33.558783,130.334627
674364,医学部前／西鉄バス,33.324664,130.512605
677003,いきいき情報センター／西鉄バス,33.507488,130.528989
675434,壱岐丘中学校／西鉄バス,33.543213,130.316599
675488,壱岐中学校／西鉄バス,33.559172,130.3134
675441,壱岐農協前／西鉄バス,33.564733,130.324949
675519,生の松原三丁目／西鉄バス,33.573236,130.303683
675525,生の松原サンハイツ／西鉄バス,33.568439,130.310747
675517,生の松原団地／西鉄バス,33.567947,130.300447
675518,生の松原団地入口／西鉄バス,33.569058,130.302913
675516,生の松原団地南／西鉄バス,33.566063,130.29873
675498,壱岐東小学校前／西鉄バス,33.559722,130.320908
675425,生松台一丁目／西鉄バス,33.554977,130.300802
675424,生松台入口／西鉄バス,33.55688,130.303086
675428,生松台三丁目／西鉄バス,33.550157,130.302588
675427,生松台二丁目／西鉄バス,33.552513,130.300825
675432,壱岐南小学校入口／西鉄バス,33.549144,130.315102
677978,壱岐南小学校前／西鉄バス,33.549961,130.316827
677133,伊岐須／西鉄バス,33.648841,130.668633
677134,伊岐須小学校／西鉄バス,33.648841,130.663636
676316,池浦／西鉄バス,33.827055,130.544705
677527,池尻／西鉄バス,33.6184,130.800116
674429,池田(広川町)／西鉄バス,33.246605,130.545586
676325,池田(宗像市)／西鉄バス,33.841402,130.551085
676776,池田(福岡市)／西鉄バス,33.486624,130.358827
675102,池田橋／西鉄バス,33.063366,130.48293
674070,池田町／西鉄バス,33.811597,130.726466
