line_id,station_code
1029,675435
1029,675437
1029,675439
1029,675440
1029,675441
1029,675449
1029,675450
1029,675457
1029,675460
1029,676825
1029,676840
1029,676842
1029,676844
1029,676870
1029,676871
1029,676876
1029,676880
1029,676881
1029,676890
1029,677851
1029,677858
1036,675435
1036,675442
1036,675443
1036,675444
1036,675445
1036,675447
1036,675450
1036,675457
1036,675459
1036,675460
1036,675488
1036,675489
1036,676825
1036,676826
1036,676830
1036,676839
1036,676840
1036,676842
1036,676843
1036,676844
1036,676870
1036,676876
1036,676880
1036,676881
1036,677838
1036,677851
1036,677858
1038,675435
1038,675436
1038,675437
1038,675439
1038,675440
1038,675441
1038,675449
1038,675450
1038,675457
1038,677851
1038,677858
1053,675445
1053,675446
1053,675456
1053,675461
1053,675463
1053,675490
1053,675499
1053,675517
1053,675518
1053,675519
1053,675520
1053,675521
1053,675522
1053,675523
1053,675525
1053,675526
1053,675527
1053,677851
1057,675435
1057,675442
1057,675443
1057,675444
1057,675445
1057,675447
1057,675450
1057,675457
1057,675488
1057,675489
1057,677838
1057,677851
1057,677858
1079,676709
1079,676710
1079,676711
1079,676712
1079,676713
1079,676714
1079,676715
1079,676716
1079,676717
1079,676718
1079,676719
11,675145
11,675162
11,675163
11,675171
11,675172
11,675173
11,675174
11,675175
11,675176
11,675177
11,675178
11,675179
11,675180
11,675181
11,675182
11,676480
11,677785
11,677793
11,678111
1100,675145
1100,675162
1100,675163
1100,675164
1100,675236
1100,675237
1100,675238
1100,675239
1100,675240
1100,675241
1100,675242
1100,675245
1100,675435
1100,675437
1100,675479
1100,675480
1100,675481
1100,675507
1100,675508
1100,675509
1100,675510
1100,675511
1100,676061
1100,676729
1100,678111
1128,675162
1128,675163
1128,675164
1128,675236
1128,675237
1128,675238
1128,675239
1128,675265
1128,675266
1128,675267
1128,675268
1128,675273
1128,675274
1128,675275
1128,675276
1128,675277
1128,675278
1128,675279
1128,675281
1128,675282
1128,675283
1128,675284
1128,675285
1128,675287
1128,675289
1128,675293
1128,675325
1128,675479
1128,675480
1128,675481
1128,675507
1128,675508
1128,675509
1128,675510
1128,675511
1128,675512
1128,675513
1128,676023
1128,676024
1128,676025
1128,676061
1128,676729
1128,678111
117,675149
117,675150
117,675162
117,675163
117,675164
117,675166
117,675167
117,675168
117,675169
117,675325
117,675512
117,675513
117,675514
117,676024
117,676025
117,676038
117,676798
117,676850
117,676875
117,676878
117,676880
117,676881
117,676882
117,677805
117,677964
1185,675910
1185,675912
1185,675913
1185,675915
1185,675916
1185,675918
1185,675921
1185,675923
1185,675926
1185,675931
1185,675933
1185,677921
1186,675910
1186,675912
1186,675913
1186,675914
1186,675915
1186,675916
1186,675918
1186,675921
1186,675923
1186,675926
1186,675931
1186,675933
1186,675940
1186,675995
1186,676818
1186,677921
1190,675910
1190,675912
1190,675915
1190,675916
1190,675918
1190,675922
1190,675926
1190,675931
1190,675933
1190,676814
1190,676818
1190,677921
1191,675893
1191,675910
1191,675912
1191,675913
1191,675914
1191,675915
1191,675916
1191,675918
1191,675922
1191,675931
1191,675933
1191,675934
1191,675935
1191,675936
1191,675939
1191,675940
1191,675941
1191,675995
1191,676003
1191,676813
1191,676814
1191,676818
1191,677921
1192,675893
1192,675903
1192,675906
1192,675907
1192,675908
1192,675909
1192,675913
1192,675914
1192,675919
1192,676720
1192,676721
1192,676722
1192,676723
1192,676794
1192,676813
1192,676814
1192,676818
1192,676819
1192,676896
1192,677792
1192,677797
1193,675230
1193,675893
1193,675910
1193,675912
1193,675913
1193,675914
1193,675915
1193,675916
1193,675918
1193,675921
1193,675923
1193,675925
1193,675926
1193,675931
1193,675933
1193,675934
1193,675935
1193,675936
1193,675937
1193,675938
1193,675943
1193,675944
1193,676000
1193,676004
1193,676723
1193,676813
1193,676814
1193,676818
1193,676819
1193,676853
1193,676854
1193,676855
1193,676856
1193,676857
1193,676858
1193,676896
1193,677792
1193,677796
1193,677797
1193,677921
1197,309543
1197,309544
120,675150
120,675162
120,675163
120,675164
120,675165
120,675511
120,675513
120,675514
120,675515
120,676061
120,676724
120,676795
120,676796
120,676797
120,676798
120,676870
120,676871
120,676883
120,676884
120,676885
120,677805
120,677964
1215,675652
1215,675764
1215,675839
1215,675841
1215,675842
1215,675843
1215,675847
1215,675848
1215,675849
1215,675850
1215,675851
1215,675852
1215,675853
1215,675855
1215,675857
1215,675859
1215,675861
1215,675868
1215,675869
1215,675870
1215,675871
1215,675872
1215,675873
1215,675874
1215,677763
1215,677884
1217,675652
1217,675653
1217,675654
1217,675655
1217,675656
1217,675657
1217,675662
1217,675663
1217,675665
1217,675666
1217,675677
1217,675678
1217,675679
1217,675680
1217,675681
1217,677763
1231,675145
1231,675146
1231,675161
1231,675325
1231,675326
1231,676007
1231,676008
1231,676009
1231,676010
1231,676011
1231,676012
1231,676013
1231,676014
1231,676015
1231,676022
1231,676023
1231,676024
1231,676025
1231,676058
1231,676059
1231,676720
1231,676721
1231,676722
1231,676723
1231,676791
1231,676857
1231,676858
1231,676894
1231,677762
1231,677790
1236,675146
1236,675325
1236,675326
1236,675511
1236,676012
1236,676013
1236,676014
1236,676015
1236,676019
1236,676020
1236,676022
1236,676023
1236,676024
1236,676025
1236,676061
1236,676720
1236,676721
1236,676722
1236,676723
1236,676791
1236,676857
1236,676858
1236,677792
1236,677797
1237,675325
1237,675326
1237,675511
1237,676012
1237,676013
1237,676014
1237,676015
1237,676019
1237,676020
1237,676022
1237,676023
1237,676024
1237,676025
1237,676061
1237,676857
1237,676858
1237,677792
124,675149
124,675162
124,675163
124,675164
124,675325
124,675511
124,675512
124,675513
124,675514
124,675515
124,676023
124,676024
124,676025
124,676061
124,676883
124,676884
124,677964
1256,674792
1256,674793
1256,674795
1256,674796
1256,674797
1256,674798
1256,674799
1256,674800
1256,674802
1256,674803
1256,674804
1256,674805
1256,674806
1256,674807
1256,674808
1256,674809
1256,674810
1256,674811
1256,675099
1256,675100
1256,675101
1256,675103
1256,675104
1256,675105
1256,675106
1256,677913
1265,674760
1265,674762
1265,674763
1265,674764
1265,674765
1265,674766
1265,674767
1265,674768
1265,674769
1265,674795
1265,674796
1265,674797
1265,674798
1265,674799
1265,674801
1266,674760
1266,674762
1266,674763
1266,674764
1266,674765
1266,674766
1266,674767
1266,674768
1266,674769
1266,674795
1267,674760
1267,674762
1267,674763
1267,674771
1267,674772
1267,674773
1267,674774
1267,674775
1267,674776
1267,674777
1267,674778
1267,674779
1267,674780
1267,674795
1267,674796
1267,674797
1267,674798
1267,674799
1267,674801
1268,674760
1268,674762
1268,674763
1268,674771
1268,674772
1268,674773
1268,674774
1268,674775
1268,674776
1268,674777
1268,674778
1268,674779
1268,674780
